date,Time,magnitude,zone,description
10/23/2023,21:54,2.5,OLTENIA GORJ,
10/23/2023,21:23,2.2,OLTENIA GORJ,
10/21/2023,6:58,3.3,ZONA SEISMICA VRANCEA BUZAU,
10/20/2023,22:30,2.3,CRISANA ARAD,
10/20/2023,12:30,2.8,ZONA SEISMICA VRANCEA BUZAU,
10/19/2023,20:41,2.4,ZONA SEISMICA FAGARAS-CAMPULUNG DAMBOVITA,
10/17/2023,16:14,2,ZONA SEISMICA VRANCEA VRANCEA,
10/16/2023,0:10,2,MUNTENIA ILFOV_N,
10/15/2023,22:49,2,OLTENIA GORJ,
10/15/2023,19:44,2,OLTENIA GORJ,
10/13/2023,2:32,2.4,OLTENIA GORJ,
10/13/2023,2:02,2.4,ZONA SEISMICA VRANCEA VRANCEA,
10/9/2023,18:38,2.7,ZONA SEISMICA VRANCEA BUZAU,
10/9/2023,10:01,3.1,ZONA SEISMICA VRANCEA BUZAU,
10/5/2023,17:32,2.1,BANAT TIMIS,
10/5/2023,3:50,3.5,ZONA SEISMICA VRANCEA BUZAU,
10/5/2023,3:36,2.2,ZONA SEISMICA VRANCEA BUZAU,
10/5/2023,3:27,2.4,ZONA SEISMICA VRANCEA VRANCEA,
10/4/2023,23:54,2.4,DOBROGEA TULCEA,
10/3/2023,0:15,2.4,DOBROGEA TULCEA,
10/2/2023,20:33,2.7,ZONA SEISMICA VRANCEA BRASOV,
10/1/2023,6:26,2.2,MOLDOVA BOTOSANI,
10/1/2023,3:39,2.1,ZONA SEISMICA VRANCEA VRANCEA,
9/29/2023,14:41,2.3,OLTENIA GORJ,
9/28/2023,3:02,2.5,ZONA SEISMICA VRANCEA BUZAU,
9/28/2023,2:03,2.3,BANAT TIMIS,
9/24/2023,8:01,2,OLTENIA GORJ,
9/24/2023,5:18,2.2,ZONA SEISMICA VRANCEA VRANCEA,
9/23/2023,21:51,3.9,ZONA SEISMICA VRANCEA VRANCEA,
9/21/2023,0:54,2.8,ZONA SEISMICA VRANCEA BUZAU,
